SpeciesCode,HUCID
LithobatesKauffeldi,0204020205
LithobatesKauffeldi,0204020206
LithobatesKauffeldi,0204030401
LithobatesKauffeldi,0204030402
LithobatesKauffeldi,0204030403
LithobatesKauffeldi,0204030404
LithobatesKauffeldi,0204030405
LithobatesKauffeldi,0208010201
LithobatesKauffeldi,0208010202
LithobatesKauffeldi,0208010203
LithobatesKauffeldi,0208010204
LithobatesKauffeldi,0208010401
LithobatesKauffeldi,0208010402
LithobatesKauffeldi,0208010403
LithobatesKauffeldi,0208010404
LithobatesKauffeldi,0208010405
LithobatesKauffeldi,0208010406
LithobatesKauffeldi,0208010407
LithobatesKauffeldi,0208010501
LithobatesKauffeldi,0208010502
LithobatesKauffeldi,0208010503
LithobatesKauffeldi,0208010504
LithobatesKauffeldi,0208010505
LithobatesKauffeldi,0208010506
LithobatesKauffeldi,0208010601
LithobatesKauffeldi,0208010602
LithobatesKauffeldi,0110000501
LithobatesKauffeldi,0108020501
LithobatesKauffeldi,0110000102
LithobatesKauffeldi,0208010603
LithobatesKauffeldi,0208010604
LithobatesKauffeldi,0208010605
LithobatesKauffeldi,0208010606
LithobatesKauffeldi,0208010607
LithobatesKauffeldi,0208010608
LithobatesKauffeldi,0208010609
LithobatesKauffeldi,0208010610
LithobatesKauffeldi,0208010611
LithobatesKauffeldi,0208010701
LithobatesKauffeldi,0208010702
LithobatesKauffeldi,0208010801
